time,BNP.EURAUD - EUR/AUD_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,1.7308,1.7313,1.7303,
2004-06-01T21:00:00.000000Z,1.7549,1.7554,1.7544,
2004-06-02T21:00:00.000000Z,1.7752,1.7757,1.7747,
2004-06-03T21:00:00.000000Z,1.7659,1.7674,1.7644,
2004-06-05T21:00:00.000000Z,1.7651,1.7666,1.7636,
2004-06-06T21:00:00.000000Z,1.7424,1.7429,1.7419,
2004-06-07T21:00:00.000000Z,1.7507,1.7512,1.7502,
2004-06-08T21:00:00.000000Z,1.7459,1.7464,1.7454,
2004-06-09T21:00:00.000000Z,1.7362,1.7367,1.7357,
2004-06-10T21:00:00.000000Z,1.7351,1.7366,1.7336,
2004-06-12T21:00:00.000000Z,1.733,1.7345,1.7315,
2004-06-13T21:00:00.000000Z,1.754,1.7545,1.7535,
2004-06-14T21:00:00.000000Z,1.7437,1.7442,1.7432,
2004-06-15T21:00:00.000000Z,1.7423,1.7428,1.7418,
2004-06-16T21:00:00.000000Z,1.76695,1.7675,1.7664,
2004-06-17T21:00:00.000000Z,1.7622,1.7637,1.7607,
2004-06-19T21:00:00.000000Z,1.7609,1.7624,1.7594,
2004-06-20T21:00:00.000000Z,1.7553,1.7558,1.7548,
2004-06-21T21:00:00.000000Z,1.7606000000000002,1.7611,1.7601,
2004-06-22T21:00:00.000000Z,1.7578,1.7583,1.7573,
2004-06-23T21:00:00.000000Z,1.73925,1.7398,1.7387,
2004-06-24T21:00:00.000000Z,1.7381,1.7396,1.7366,
2004-06-25T21:00:00.000000Z,1.7387,1.7402,1.7372,
2004-06-27T21:00:00.000000Z,1.742,1.7425,1.7415,
2004-06-28T21:00:00.000000Z,1.75055,1.7511,1.75,
2004-06-29T21:00:00.000000Z,1.7445,1.745,1.744,
2004-06-30T21:00:00.000000Z,1.7249,1.7254,1.7244,
2004-07-01T21:00:00.000000Z,1.7264,1.7279,1.7249,
2004-07-03T21:00:00.000000Z,1.7279,1.7294,1.7264,
2004-07-04T21:00:00.000000Z,1.7268,1.7273,1.7263,
2004-07-05T21:00:00.000000Z,1.7225,1.723,1.722,
2004-07-06T21:00:00.000000Z,1.71085,1.7115,1.7102,
2004-07-07T21:00:00.000000Z,1.72035,1.7209,1.7198,
2004-07-08T21:00:00.000000Z,1.7193,1.7208,1.7178,
2004-07-10T21:00:00.000000Z,1.7163,1.7178,1.7148,
2004-07-11T21:00:00.000000Z,1.7057,1.7062,1.7052,
2004-07-12T21:00:00.000000Z,1.70045,1.7009999999999998,1.6999,
2004-07-13T21:00:00.000000Z,1.7108,1.7113,1.7103,
2004-07-14T21:00:00.000000Z,1.7094,1.71,1.7088,
2004-07-15T21:00:00.000000Z,1.7005,1.702,1.699,
2004-07-17T21:00:00.000000Z,1.6994,1.7009,1.6979,
2004-07-18T21:00:00.000000Z,1.6998,1.7003,1.6993,
2004-07-19T21:00:00.000000Z,1.6945,1.695,1.694,
2004-07-20T21:00:00.000000Z,1.71395,1.7145,1.7134,
2004-07-21T21:00:00.000000Z,1.7146,1.7151,1.7141,
2004-07-22T21:00:00.000000Z,1.7046,1.7061,1.7031,
2004-07-24T21:00:00.000000Z,1.7068,1.7083,1.7053,
2004-07-25T21:00:00.000000Z,1.7119,1.7124,1.7114,
2004-07-26T21:00:00.000000Z,1.7242,1.7247,1.7237,
2004-07-27T21:00:00.000000Z,1.7227,1.7232,1.7222,
2004-07-28T21:00:00.000000Z,1.722,1.7225,1.7215,
2004-07-29T21:00:00.000000Z,1.7102,1.7117,1.7087,
2004-07-31T21:00:00.000000Z,1.7135,1.715,1.712,
2004-08-01T21:00:00.000000Z,1.70975,1.7103,1.7092,
2004-08-02T21:00:00.000000Z,1.70575,1.7063,1.7052,
2004-08-03T21:00:00.000000Z,1.71195,1.7125,1.7114,
2004-08-04T21:00:00.000000Z,1.7133,1.7138,1.7128,
2004-08-05T21:00:00.000000Z,1.7207,1.7222,1.7192,
2004-08-07T21:00:00.000000Z,1.7198,1.7213,1.7183,
2004-08-08T21:00:00.000000Z,1.71545,1.716,1.7149,
2004-08-09T21:00:00.000000Z,1.71585,1.7164,1.7153,
2004-08-10T21:00:00.000000Z,1.70845,1.709,1.7079,
2004-08-11T21:00:00.000000Z,1.71435,1.7149,1.7138,
2004-08-12T21:00:00.000000Z,1.7259,1.7274,1.7244,
2004-08-14T21:00:00.000000Z,1.7292999999999998,1.7308,1.7278,
2004-08-15T21:00:00.000000Z,1.7213500000000002,1.7219,1.7208,
2004-08-16T21:00:00.000000Z,1.72665,1.7272,1.7261,
2004-08-17T21:00:00.000000Z,1.72315,1.7237,1.7226,
2004-08-18T21:00:00.000000Z,1.7060499999999998,1.7066,1.7055,
2004-08-19T21:00:00.000000Z,1.7021,1.7036,1.7006,
2004-08-21T21:00:00.000000Z,1.7017,1.7032,1.7002,
2004-08-22T21:00:00.000000Z,1.7017,1.7023,1.7011,
2004-08-23T21:00:00.000000Z,1.7145,1.715,1.714,
2004-08-24T21:00:00.000000Z,1.7119,1.7125,1.7113,
2004-08-25T21:00:00.000000Z,1.7201,1.7206,1.7196,
2004-08-26T21:00:00.000000Z,1.7098,1.7113,1.7083,
2004-08-28T21:00:00.000000Z,1.7127,1.7142,1.7112,
2004-08-29T21:00:00.000000Z,1.7214999999999998,1.722,1.7209999999999999,
2004-08-30T21:00:00.000000Z,1.7301,1.7306,1.7296,
2004-08-31T21:00:00.000000Z,1.7328,1.7334,1.7322,
2004-09-01T21:00:00.000000Z,1.7454,1.746,1.7448,
2004-09-02T21:00:00.000000Z,1.7444,1.7459,1.7429,
2004-09-03T21:00:00.000000Z,1.7432,1.7447,1.7417,
2004-09-05T21:00:00.000000Z,1.7422,1.7428,1.7416,
2004-09-06T21:00:00.000000Z,1.7431,1.7437,1.7425,
2004-09-07T21:00:00.000000Z,1.7492,1.7498,1.7486,
2004-09-08T21:00:00.000000Z,1.7739,1.7745,1.7733,
2004-09-09T21:00:00.000000Z,1.7634999999999998,1.765,1.7619999999999998,
2004-09-11T21:00:00.000000Z,1.7617,1.7632,1.7602,
2004-09-12T21:00:00.000000Z,1.76075,1.7613,1.7602,
2004-09-13T21:00:00.000000Z,1.7455500000000002,1.7461,1.745,
2004-09-14T21:00:00.000000Z,1.7472,1.7478,1.7466,
2004-09-15T21:00:00.000000Z,1.7428,1.7433,1.7423,
2004-09-16T21:00:00.000000Z,1.7461,1.7476,1.7446,
2004-09-17T21:00:00.000000Z,1.7451,1.7466,1.7436,
2004-09-19T21:00:00.000000Z,1.73675,1.7373,1.7362,
2004-09-20T21:00:00.000000Z,1.7536,1.7542,1.7530000000000001,
2004-09-21T21:00:00.000000Z,1.7359,1.7364,1.7354,
2004-09-22T21:00:00.000000Z,1.71995,1.7205,1.7194,
2004-09-23T21:00:00.000000Z,1.7179,1.7194,1.7164,
2004-09-25T21:00:00.000000Z,1.7183000000000002,1.7198,1.7168,
2004-09-26T21:00:00.000000Z,1.7226,1.7231,1.7221,
2004-09-27T21:00:00.000000Z,1.7170999999999998,1.7176,1.7166,
2004-09-28T21:00:00.000000Z,1.7198,1.7204,1.7192,
2004-09-29T21:00:00.000000Z,1.70895,1.7095,1.7084,
2004-09-30T21:00:00.000000Z,1.71,1.7115,1.7085,
2004-10-02T21:00:00.000000Z,1.7133,1.7148,1.7118,
2004-10-03T21:00:00.000000Z,1.7027,1.7032,1.7022,
2004-10-04T21:00:00.000000Z,1.6995,1.7,1.699,
2004-10-05T21:00:00.000000Z,1.6971500000000002,1.6977,1.6966,
2004-10-06T21:00:00.000000Z,1.6872,1.6878,1.6866,
2004-10-07T21:00:00.000000Z,1.6885,1.69,1.6869999999999998,
2004-10-09T21:00:00.000000Z,1.6844,1.6859,1.6829,
2004-10-10T21:00:00.000000Z,1.6902,1.6908,1.6896,
2004-10-11T21:00:00.000000Z,1.6873,1.6878,1.6868,
2004-10-12T21:00:00.000000Z,1.70025,1.7008,1.6997,
2004-10-13T21:00:00.000000Z,1.70055,1.7011,1.7,
2004-10-14T21:00:00.000000Z,1.7047,1.7062,1.7032,
2004-10-16T21:00:00.000000Z,1.7065,1.7080000000000002,1.705,
2004-10-17T21:00:00.000000Z,1.7226,1.7231,1.7221,
2004-10-18T21:00:00.000000Z,1.7212,1.7217,1.7207,
2004-10-19T21:00:00.000000Z,1.7132,1.7137,1.7127,
2004-10-20T21:00:00.000000Z,1.71105,1.7116,1.7105,
2004-10-23T21:00:00.000000Z,1.7109,1.7124,1.7094,
2004-10-24T21:00:00.000000Z,1.7151,1.7156,1.7146,
2004-10-25T21:00:00.000000Z,1.7107,1.7112,1.7102,
2004-10-26T21:00:00.000000Z,1.70705,1.7076,1.7065,
2004-10-27T21:00:00.000000Z,1.70675,1.7073,1.7062,
2004-10-30T21:00:00.000000Z,1.7111999999999998,1.7127,1.7097,
2004-10-31T22:00:00.000000Z,1.7078,1.7083,1.7073,
2004-11-01T22:00:00.000000Z,1.7029,1.7034,1.7024,
2004-11-02T22:00:00.000000Z,1.6969,1.6974,1.6964,
2004-11-03T22:00:00.000000Z,1.69955,1.7001,1.699,
2004-11-04T22:00:00.000000Z,1.6998,1.7013,1.6983,
2004-11-06T22:00:00.000000Z,1.6988,1.7003,1.6973,
2004-11-07T22:00:00.000000Z,1.7057,1.7062,1.7052,
2004-11-08T22:00:00.000000Z,1.6941000000000002,1.6946,1.6936,
2004-11-09T22:00:00.000000Z,1.6973,1.6978,1.6968,
2004-11-10T22:00:00.000000Z,1.6877,1.6882,1.6872,
2004-11-11T22:00:00.000000Z,1.6863,1.6878,1.6848,
2004-11-13T22:00:00.000000Z,1.6876,1.6891,1.6861,
2004-11-14T22:00:00.000000Z,1.6737,1.6742,1.6732,
2004-11-15T22:00:00.000000Z,1.6768999999999998,1.6774,1.6764,
2004-11-16T22:00:00.000000Z,1.6669999999999998,1.6675,1.6665,
2004-11-17T22:00:00.000000Z,1.66545,1.666,1.6649,
2004-11-18T22:00:00.000000Z,1.6623,1.6638,1.6608,
2004-11-20T22:00:00.000000Z,1.6632,1.6647,1.6617,
2004-11-21T22:00:00.000000Z,1.6667,1.6672,1.6662,
2004-11-22T22:00:00.000000Z,1.6648,1.6653,1.6643,
2004-11-23T22:00:00.000000Z,1.67195,1.6725,1.6714,
2004-11-24T22:00:00.000000Z,1.6741,1.6747,1.6735,
2004-11-25T22:00:00.000000Z,1.6814,1.6829,1.6799,
2004-11-27T22:00:00.000000Z,1.6804,1.6819,1.6789,
2004-11-28T22:00:00.000000Z,1.6928,1.6933,1.6923,
2004-11-29T22:00:00.000000Z,1.7221,1.7226,1.7216,
2004-11-30T22:00:00.000000Z,1.7149,1.7154,1.7144,
2004-12-01T22:00:00.000000Z,1.7130999999999998,1.7136,1.7126,
2004-12-02T22:00:00.000000Z,1.7215,1.723,1.72,
2004-12-04T22:00:00.000000Z,1.7199,1.7214,1.7184,
2004-12-05T22:00:00.000000Z,1.7334,1.7339,1.7329,
2004-12-06T22:00:00.000000Z,1.7334,1.7339,1.7329,
2004-12-07T22:00:00.000000Z,1.7594,1.7599,1.7589,
2004-12-08T22:00:00.000000Z,1.7654,1.766,1.7648,
2004-12-09T22:00:00.000000Z,1.7608,1.7623,1.7593,
2004-12-11T22:00:00.000000Z,1.7632,1.7647,1.7617,
2004-12-12T22:00:00.000000Z,1.75395,1.7545,1.7534,
2004-12-13T22:00:00.000000Z,1.75835,1.7589,1.7578,
2004-12-14T22:00:00.000000Z,1.7549,1.7554,1.7544,
2004-12-15T22:00:00.000000Z,1.7493,1.7499,1.7487,
2004-12-16T22:00:00.000000Z,1.7396,1.7411,1.7381,
2004-12-18T22:00:00.000000Z,1.7459,1.7474,1.7444,
2004-12-19T22:00:00.000000Z,1.7530000000000001,1.7535,1.7525,
2004-12-20T22:00:00.000000Z,1.7487,1.7492,1.7482,
2004-12-21T22:00:00.000000Z,1.7531,1.7536,1.7526,
2004-12-22T22:00:00.000000Z,1.7619,1.7624,1.7614,
2004-12-23T22:00:00.000000Z,1.7599,1.7614,1.7584,
2004-12-25T22:00:00.000000Z,1.7581,1.7596,1.7566,
2004-12-26T22:00:00.000000Z,1.7507,1.7512,1.7502,
2004-12-27T22:00:00.000000Z,1.74695,1.7475,1.7464,
2004-12-28T22:00:00.000000Z,1.7572,1.7577,1.7567,
2004-12-29T22:00:00.000000Z,1.7494,1.7499,1.7489,
2004-12-30T22:00:00.000000Z,1.7339,1.7354,1.7324,
2005-01-01T22:00:00.000000Z,1.7359,1.7374,1.7344,
2005-01-02T22:00:00.000000Z,1.7305,1.7309999999999999,1.73,
2005-01-03T22:00:00.000000Z,1.736,1.7365,1.7355,
2005-01-04T22:00:00.000000Z,1.7342499999999998,1.7347,1.7338,
2005-01-05T22:00:00.000000Z,1.7318,1.7322,1.7314,
2005-01-06T22:00:00.000000Z,1.7234,1.7249,1.7219,
2005-01-08T22:00:00.000000Z,1.7251,1.7266,1.7236,
2005-01-09T22:00:00.000000Z,1.72585,1.7263,1.7254,
2005-01-10T22:00:00.000000Z,1.72085,1.7213,1.7204,
2005-01-11T22:00:00.000000Z,1.72845,1.7289,1.7280000000000002,
2005-01-12T22:00:00.000000Z,1.72775,1.7283,1.7272,
2005-01-13T22:00:00.000000Z,1.7280000000000002,1.7295,1.7265,
2005-01-15T22:00:00.000000Z,1.725,1.7265,1.7235,
2005-01-16T22:00:00.000000Z,1.72395,1.7244,1.7235,
2005-01-17T22:00:00.000000Z,1.72365,1.7241,1.7232,
2005-01-18T22:00:00.000000Z,1.7107,1.7112,1.7102,
2005-01-19T22:00:00.000000Z,1.70885,1.7093,1.7084,
2005-01-20T22:00:00.000000Z,1.6947,1.6962,1.6932,
2005-01-21T22:00:00.000000Z,1.6945,1.696,1.693,
